"NPV","Cashflow1","Cashflow2","Cashflow3","Cashflow4","Cashflow5","Cashflow6","Cashflow7","Cashflow8","Cashflow9","Cashflow10","Cashflow11","Cashflow12"
-87485.9333582993,-25876.5976617376,-5537.54539018183,-5543.71368592358,-5451.16944568365,-5586.61040695448,-5587.3702403243,-5631.33767658038,-5489.1889922136,-5463.29741427797,-5391.66144227207,-6124.93493360045,-5989.51703721759
226425.20043089,1856.12860147226,20719.1863734472,20686.8354295059,20124.5248149129,20569.4272678947,20760.7481972153,20139.3725508579,20133.5981959319,20802.9923146549,20674.3007747306,20605.9855024368,20025.217168458
-109649.776530479,-27367.4851770734,-7549.99305361873,-7952.13937415047,-7410.49732081726,-7533.19611436544,-7508.2845262161,-7404.88107969329,-7343.41135457634,-7468.93580795395,-7461.45361307255,-7404.60052809758,-7490.6370645328
-16287.4631961739,-20103.913366756,24.2253567229345,465.022271841954,495.138115084992,-37.2997334524334,498.642210542224,560.99271099348,483.973989944971,402.827390109829,368.579080860232,31.2402428605419,535.220907626761
130959.749716547,-6739.03858452282,12548.0731443753,12792.297857831,12564.5953317198,12554.0863538264,12762.4993416816,12763.5211643044,12104.9161070995,12295.0388237335,12137.4801274272,12627.1808530261,12962.0147212781
465080.951997996,21997.1093956152,40692.4734877216,40529.6313114415,40404.4172037391,40269.1001033797,40376.4175767377,40485.1945485161,40447.8068306725,40406.3508568998,40318.4577432462,39860.0176636719,40622.8647338171
265058.020035944,4753.35742583679,23530.1534121653,24042.3838052755,23925.2984002601,23652.9152639563,23432.102085983,23514.3768974656,23556.5070722955,24194.6438694636,23709.8232974749,23611.6503033576,23916.7578470074
-180997.984748747,-32012.9576146487,-13713.4975272497,-13920.9242403441,-13825.315878199,-13804.4446277605,-13322.7967354662,-13434.6559662075,-13191.9309129056,-13714.67711822,-13344.6204974007,-13860.3357608198,-13297.1166355955
26509.861232602,-16057.6592851989,3596.58870783432,3882.0421425633,3987.91049245235,4122.05549710403,3596.3470995951,4080.11212932263,3601.76839456028,4238.99467639159,4030.35451391136,4095.86577006488,3463.56964244784
9494.08888434806,-17604.3248514444,2558.7552778637,2564.07934683417,2550.88820731863,2503.14332095397,2424.99126894164,2521.42495613889,2308.76288872553,2473.70956333458,2615.59330169411,2090.30525256058,2567.20639457764
-5091.35699264679,-18648.7871849998,1296.56034697783,1390.52465390901,1323.02057980284,1461.05154661205,1250.19574177108,1324.23912771486,1333.72935827519,795.879880643071,1251.08174853709,899.386152739848,1270.68945509357
-62092.6052309574,-22954.173637286,-3944.62730936206,-3510.9183526111,-3359.69525449711,-3439.81023200473,-3399.05571216014,-3329.89928369619,-3834.72967799634,-3430.2045608372,-3482.42711355288,-3961.47925373127,-3563.43697574477
70343.1252383101,-12675.666273776,7853.22238258887,7762.21091617151,7792.9594016621,7840.22526264953,7677.26154903894,7763.6650600776,7297.23389793924,7264.21759663584,7157.569682915,7576.16592890376,7279.79970330062
-332481.303272733,-45606.8475150592,-26535.1567353326,-26009.6666239442,-26017.4315043969,-26029.2187226923,-26583.9887337183,-26084.1446846919,-26076.1947445336,-26111.2980982274,-26072.6569863691,-26122.4608251193,-26092.6086423733
212516.377646935,99.6607800721686,19711.5966671926,19175.2731125433,19581.9487796273,19204.0087435034,19331.2794657078,19173.2609304866,19253.0892091187,19476.8261654643,19369.3543940022,19685.0512847371,19092.1945604187
129393.493912656,-5509.92761028888,12457.427033852,12339.9787153093,12413.7580896722,11957.9601069929,12301.5314464016,12465.2980858593,11926.7141235531,12285.2201851744,12374.5449762964,12384.4399238356,12401.6256835431
80764.3315727518,-11570.8022210084,8015.39393525079,8570.63159728753,8044.55408616104,8604.33938147678,8495.86866867023,8601.84636805738,8445.32588068447,8600.56267828886,8150.97225569902,8488.48988446567,8595.80300153496
22765.3808191463,-16472.0520400904,3880.29420634413,3283.447495555,3778.82897025984,3528.04041402221,3711.70591665358,3622.86444956025,3733.39012573969,2924.85167893332,3553.73034036985,3733.9269741844,3603.44103328013
11112.6708611509,-16603.7738504884,2770.14030091337,2757.1164797107,2720.14453489196,2255.88379670116,2758.07149665284,2216.97856499958,2214.27671540724,2350.58161812102,2327.12626962075,2728.1248464638,2700.21751043102
22109.7285566378,-15945.6073623397,3709.9138567698,3586.37021231235,3670.83144747085,3582.61560042146,3239.93877438118,3270.94615900336,3767.81969466381,3038.61775369948,3169.17510100149,3598.50882769655,3533.40927500113
